Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
Santa Catarina Tuna Fillets in Olive Oil and Curry,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Curry,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Fennel,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Fennel Seeds,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Oregano,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Oregano,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Rosemary,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Rosemary,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Thyme,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Thyme,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Organic Olive Oil,12,"Olive Oil, Organic","Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,None,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,Yes,None,2,270,11,
Sardinha Skinless and Boneless Sardines in Spicy Olive Oil,7.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Chili pepper,Yes,Yes,Unstated,120g,4.2oz,No,No,No,No,Yes,No,No,No,No,None,,,,
Sardinha Skinless and Boneless Sardines in Tomato Sauce with Olive Oil,7.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Tomato,Yes,Yes,Unstated,120g,4.2oz,No,No,No,No,No,Yes,No,No,No,None,,,,
Sardinha Skinless and Boneless Sardines in Olive Oil,7.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,Yes,Yes,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,,,,
Sardinha Lightly Smoked Sardines in Olive Oil,5.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120g,4.2oz,Yes,No,No,No,No,No,No,No,No,None,,,,
Sardinha Small Sardines in Olive Oil,5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,,,,
Sardinha Sardines in Escabeche,5,Sunflower Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Escabeche,No,No,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,,,,
Sardinha Sardines in Olive Oil with Red Bell Pepper,5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Bell Pepper,No,No,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,,,,
Sardinha Sardines in Olive Oil,5,Olive Oli,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,,,,
Sardinha Sardines in Tomato Sauce with Olive Oil,5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Tomato,No,No,Unstated,120g,4.2oz,No,No,No,No,No,Yes,No,No,No,None,,,,
Sardinha Sardines in Olive Oil with Lemon,5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Lemon,No,No,Unstated,120g,4.2oz,No,No,Yes,No,No,No,No,No,No,None,,,,
Sempio Braised Dried Pollock in Spicy Sauce (Gochujang),6,Corn Oil,Pollock,,Korea,Sempio,Yes,Yes,Gochujang,NA,NA,Unstated,50g,1.76oz,No,No,No,No,Yes,No,?,?,No,None,1,690,30,
Sempio Braised Anchovies in Soy Sauce,6,Corn Oil,Anchovies,,Korea,Sempio,Yes,Yes,"Almond, spices",NA,NA,Unstated,50g,1.76oz,No,No,No,No,No,No,No,No,No,None,1,1,400,12
Sempio Braised Anchovies with Hot Pepper Paste (Gochujang),6,Corn Oil,Anchovies,,Korea,Sempio,Yes,Yes,"Gochujang, spices, almonds, pumpkin seed",NA,NA,Unstated,50g,1.76oz,No,No,No,?,Yes,No,Yes,Yes,No,None,1,750,33,
Stabburet Stabbur-Makrell (Mackerel Fillet) in Tomato Sauce,11.5,Canola Oil,Mackerel,,Norway,Stabbuet,Yes,Yes,Tomato,NA,NA,Unstated,170g,5.5oz,No,No,No,No,No,Yes,No,No,No,None,1,?,?,
Sunnmöre Peppered Mackerel (Peppermakrell),7,Rapeseed Oil,Mackerel,,Norway,Sunnmore,Yes,No,Pepper,NA,NA,Unstated,170g,6oz,No,No,No,No,No,No,No,No,No,None,1,?,?,
Sunnmöre Mackerel Fillets in Tomato Sauce,7,Rapeseed Oil,Mackerel,,Norway,Sunnmore,Yes,Yes,Tomato,NA,NA,Unstated,170g,6oz,No,No,No,No,No,Yes,No,No,No,None,1,?,?,
Sunnmöre Fish Balls in Brine (Fiskeboller i kraft),14.5,Brine,"Great silver smelt, haddock, saithe, Alaska pollack",,Norway,Sunnmore,Yes,No,None,NA,NA,Unstated,800g,28oz,No,No,No,No,No,No,Yes,No,No,None,4,525,22,
Tiny Fish Co. Octopus with Lemon and Dill,17,"Sunflower Oil, Butter",Octopus,Enteroctopus dofleini,USA,Tiny Fish Co.,Yes,No,"Lemon, Dill",NA,NA,Unstated,99g,3.5 oz,No,No,Yes,No,No,No,Yes,No,No,None,2,618,27,
Tiny Fish Co. Rockfish in Sweet Soy Sauce,17,Soy Sauce,Rockfish,Sebastes melanops,USA,Tiny Fish Co.,Yes,Yes,Soy Sauce,Yes,Yes,Unstated,99g,3.5 oz,No,No,No,No,No,No,No,No,No,None,2,1371,60,
Tiny Fish Co. Smoked Geoduck with Black Pepper,21,None,"Clam, Geoduck",Panopea generosa,USA,Tiny Fish Co.,Yes,Yes,Black Pepper,NA,NA,Unstated,99g,3.5 oz,Yes,No,No,No,No,No,No,No,No,None,2,618,27,
Tiny Fish Co. Smoked Mussels en Escabeche,17,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,USA,Tiny Fish Co.,Yes,No,Escabeche,NA,NA,Unstated,133g,4.75 oz,Yes,No,No,No,No,No,No,No,No,None,2,618,27,
