date ,gear,crew ,temp_c,set_number,start_time ,end_time ,start_depth_ft,end_depth_ft,lat_start ,long_start,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,fin,maxillary,stomach,sex,killed,age_est,comments,Code ,Colour 
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,28,12:03,14:06,42,40,45.80831,-74.76902,45.80816,-74.76871,East Basin,lt,12421,490,443,202,870,no,yes,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,39,07:55,09:30,42,,45.80509,-74.75610,45.80523,-74.75614,East Basin,lt,07080,490,447,210,842,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,28,12:03,14:06,42,40,45.80831,-74.76902,45.80816,-74.76871,East Basin,lt,12423,494,446,212,856,no,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,52,10:31,11:50,40,,45.80548,-74.75588,45.80602,-74.75613,East Basin,lt,07129,494,446,226,920,yes,yes,yes,,,,,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,11,08:30,09:45,32,28,45.80802,-74.76850,45.80744,-74.76860,East Basin,lt,07054,495,450,205,880,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,23,07:59,09:37,46,53,45.80583,-74.75606,45.80631,-74.73626,East Basin,lt,12407,495,451,215,900,yes,yes,yes,,,,maxillary ripped off in net and kept,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,26,11:40,13:00,39,60,45.80535,-74.75584,45.80595,-74.75613,East Basin,lt,12414,495,449,220,870,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,48,07:54,09:47,33,36,45.80514,-74.75574,45.80566,-74.75591,East Basin,lt,12419,495,450,220,820,yes,yes,yes,,,,,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,13,09:15,11:00,100,75,45.79905,-74.75550,45.79945,-74.75510,East Basin,lt,07059,496,451,225,910,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,50,08:14,10:40,62,49,45.78731,-74.75358,45.79670,-74.73514,East Basin,lt,07127,506,459,219,840,yes,yes,yes,,,,,,
3-May-21,gn,"Connor Reeve, Ben Hlina, Domenic Carmaniso",7,1,12:30,13:46,62,70,45.79818,-74.75326,45.79792,-74.75398,East Basin,lt,07100,507,460,215,958,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,24,08:15,10:45,76,,45.80650,-74.75636,45.80631,-74.75626,East Basin,lt,12411,515,465,210,970,yes,yes,yes,,,,"earthworms in stomach, probably caught and released ",,
